store,item_dept,date_id,daily_sales_qty,day_of_week,day_of_month,month,year,is_weekend,is_holiday,rolling_avg_7d,rolling_avg_14d,rolling_avg_30d,cumulative_sales,lag_1d,lag_7d,lag_14d,profile,size
ABC,Beverages,2022-01-01,1135.0,5,1,1,2022,1,1,1135.0,1135.0,1135.0,1135.0,0.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-01,2113.54,5,1,1,2022,1,1,2113.54,2113.54,2113.54,2113.54,0.0,0.0,0.0,Moderate,Medium
ABC,Household,2022-01-01,717.0,5,1,1,2022,1,1,717.0,717.0,717.0,717.0,0.0,0.0,0.0,Moderate,Medium
XYZ,Beverages,2022-01-01,894.0,5,1,1,2022,1,1,894.0,894.0,894.0,894.0,0.0,0.0,0.0,High,Large
XYZ,Grocery,2022-01-01,3019.884,5,1,1,2022,1,1,3019.884,3019.884,3019.884,3019.884,0.0,0.0,0.0,High,Large
XYZ,Household,2022-01-01,852.0,5,1,1,2022,1,1,852.0,852.0,852.0,852.0,0.0,0.0,0.0,High,Large
ABC,Beverages,2022-01-10,1066.0,0,10,1,2022,0,0,1100.5,1100.5,1100.5,2201.0,1135.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-10,2211.609,0,10,1,2022,0,0,2162.5744999999997,2162.5744999999997,2162.5744999999997,4325.148999999999,2113.54,0.0,0.0,Moderate,Medium
ABC,Household,2022-01-10,1144.0,0,10,1,2022,0,0,930.5,930.5,930.5,1861.0,717.0,0.0,0.0,Moderate,Medium
XYZ,Beverages,2022-01-10,903.0,0,10,1,2022,0,0,898.5,898.5,898.5,1797.0,894.0,0.0,0.0,High,Large
XYZ,Grocery,2022-01-10,3086.55,0,10,1,2022,0,0,3053.217,3053.217,3053.217,6106.434,3019.884,0.0,0.0,High,Large
XYZ,Household,2022-01-10,1056.0,0,10,1,2022,0,0,954.0,954.0,954.0,1908.0,852.0,0.0,0.0,High,Large
ABC,Beverages,2022-01-11,1350.0,1,11,1,2022,0,0,1183.6666666666667,1183.6666666666667,1183.6666666666667,3551.0,1066.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-11,2862.708,1,11,1,2022,0,0,2395.952333333333,2395.952333333333,2395.952333333333,7187.857,2211.609,0.0,0.0,Moderate,Medium
ABC,Household,2022-01-11,1099.0,1,11,1,2022,0,0,986.6666666666666,986.6666666666666,986.6666666666666,2960.0,1144.0,0.0,0.0,Moderate,Medium
XYZ,Beverages,2022-01-11,932.0,1,11,1,2022,0,0,909.6666666666666,909.6666666666666,909.6666666666666,2729.0,903.0,0.0,0.0,High,Large
XYZ,Grocery,2022-01-11,3373.658,1,11,1,2022,0,0,3160.030666666667,3160.030666666667,3160.030666666667,9480.092,3086.55,0.0,0.0,High,Large
XYZ,Household,2022-01-11,1153.0,1,11,1,2022,0,0,1020.3333333333334,1020.3333333333334,1020.3333333333334,3061.0,1056.0,0.0,0.0,High,Large
ABC,Beverages,2022-01-12,927.0,2,12,1,2022,0,0,1119.5,1119.5,1119.5,4478.0,1350.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-12,2196.186,2,12,1,2022,0,0,2346.01075,2346.01075,2346.01075,9384.043,2862.708,0.0,0.0,Moderate,Medium
ABC,Household,2022-01-12,948.0,2,12,1,2022,0,0,977.0,977.0,977.0,3908.0,1099.0,0.0,0.0,Moderate,Medium
XYZ,Beverages,2022-01-12,837.0,2,12,1,2022,0,0,891.5,891.5,891.5,3566.0,932.0,0.0,0.0,High,Large
XYZ,Grocery,2022-01-12,2899.544,2,12,1,2022,0,0,3094.909,3094.909,3094.909,12379.636,3373.658,0.0,0.0,High,Large
XYZ,Household,2022-01-12,940.0,2,12,1,2022,0,0,1000.25,1000.25,1000.25,4001.0,1153.0,0.0,0.0,High,Large
ABC,Beverages,2022-01-13,1397.0,3,13,1,2022,0,0,1175.0,1175.0,1175.0,5875.0,927.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-13,2704.301,3,13,1,2022,0,0,2417.6688000000004,2417.6688000000004,2417.6688000000004,12088.344000000001,2196.186,0.0,0.0,Moderate,Medium
ABC,Household,2022-01-13,1145.0,3,13,1,2022,0,0,1010.6,1010.6,1010.6,5053.0,948.0,0.0,0.0,Moderate,Medium
XYZ,Beverages,2022-01-13,847.0,3,13,1,2022,0,0,882.6,882.6,882.6,4413.0,837.0,0.0,0.0,High,Large
XYZ,Grocery,2022-01-13,3054.627,3,13,1,2022,0,0,3086.8525999999997,3086.8525999999997,3086.8525999999997,15434.262999999999,2899.544,0.0,0.0,High,Large
XYZ,Household,2022-01-13,957.0,3,13,1,2022,0,0,991.6,991.6,991.6,4958.0,940.0,0.0,0.0,High,Large
ABC,Beverages,2022-01-14,866.0,4,14,1,2022,0,0,1123.5,1123.5,1123.5,6741.0,1397.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-14,2186.497,4,14,1,2022,0,0,2379.1401666666666,2379.1401666666666,2379.1401666666666,14274.841,2704.301,0.0,0.0,Moderate,Medium
ABC,Household,2022-01-14,798.0,4,14,1,2022,0,0,975.1666666666666,975.1666666666666,975.1666666666666,5851.0,1145.0,0.0,0.0,Moderate,Medium
XYZ,Beverages,2022-01-14,1077.0,4,14,1,2022,0,0,915.0,915.0,915.0,5490.0,847.0,0.0,0.0,High,Large
XYZ,Grocery,2022-01-14,2858.478,4,14,1,2022,0,0,3048.790166666667,3048.790166666667,3048.790166666667,18292.741,3054.627,0.0,0.0,High,Large
XYZ,Household,2022-01-14,983.0,4,14,1,2022,0,0,990.1666666666666,990.1666666666666,990.1666666666666,5941.0,957.0,0.0,0.0,High,Large
ABC,Beverages,2022-01-15,1028.0,5,15,1,2022,1,0,1109.857142857143,1109.857142857143,1109.857142857143,7769.0,866.0,0.0,0.0,Moderate,Medium
ABC,Grocery,2022-01-15,2102.406,5,15,1,2022,1,0,2339.606714285714,2339.606714285714,2339.606714285714,16377.247,2186.497,0.0,0.0,Moderate,Medium
